ID	P.Value	logFC	Gene.symbol	Gene.title
1437151_at	7.53e-10	-1.21	Usp22	ubiquitin specific peptidase 22
1435148_at	7.74e-10	3.13	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide
1420544_at	9.83e-10	2.83	Gcsam	germinal center associated, signaling and motility
1448785_at	1.05e-09	2.69	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1418095_at	1.21e-09	7.63	Smpx	small muscle protein, X-linked
1449220_at	1.27e-09	3.97	Gimap3	GTPase, IMAP family member 3
1424704_at	1.42e-09	-2.97	Runx2	runt related transcription factor 2
1424443_at	1.53e-09	-1.45	Tm6sf1	transmembrane 6 superfamily member 1
1451827_a_at	1.60e-09	1.48	Nox4	NADPH oxidase 4
1415949_at	1.68e-09	2.69	Cpe	carboxypeptidase E
1437477_at	1.83e-09	-1.05	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1
1419297_at	1.92e-09	1.85	H2-Oa	histocompatibility 2, O region alpha locus
1449335_at	1.94e-09	1.95	Timp3	tissue inhibitor of metalloproteinase 3
1437920_at	1.95e-09	-1.64	Epha5	Eph receptor A5
1418829_a_at	2.10e-09	-2.11	Eno2	enolase 2, gamma neuronal
1441727_s_at	2.30e-09	-1.87	Zfp467	zinc finger protein 467
1456367_at	2.33e-09	1.78	Fut8	fucosyltransferase 8
1417585_at	2.37e-09	1.97	Nup210	nucleoporin 210
1416021_a_at	2.39e-09	2.63	Fabp5	fatty acid binding protein 5, epidermal
1441163_at	2.40e-09	1.84	Med12l	mediator complex subunit 12-like
1418369_at	2.50e-09	1.60	Prim1	DNA primase, p49 subunit
1417903_at	2.57e-09	-1.17	Dfna5	deafness, autosomal dominant 5 (human)
1455101_at	2.87e-09	3.00	Phactr2	phosphatase and actin regulator 2
1449187_at	2.90e-09	-1.20	Pdgfa	platelet derived growth factor, alpha
1416022_at	3.02e-09	3.50	Fabp5	fatty acid binding protein 5, epidermal
1455450_at	3.02e-09	-2.51	Ptpn3	protein tyrosine phosphatase, non-receptor type 3
1420796_at	3.06e-09	1.45	Ahrr	aryl-hydrocarbon receptor repressor
1415892_at	3.11e-09	-1.41	Sgpl1	sphingosine phosphate lyase 1
1419226_at	3.16e-09	1.66	Cd96	CD96 antigen
1450627_at	3.22e-09	9.11e-01	Ank	progressive ankylosis
1422798_at	3.25e-09	1.88	Cntnap2	contactin associated protein-like 2
1453851_a_at	3.43e-09	2.03	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma
1435286_at	3.61e-09	-2.16	Epha5	Eph receptor A5
1428851_at	3.96e-09	-1.04	Pxdc1	PX domain containing 1
1424966_at	4.19e-09	-1.38	Tmem40	transmembrane protein 40
1419486_at	4.35e-09	1.59	Foxc1	forkhead box C1
1419564_at	4.82e-09	-1.88	Zfp467	zinc finger protein 467
1419073_at	4.83e-09	-1.98	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1458634_at	4.89e-09	9.18e-01		
1452757_s_at	5.01e-09	3.36	Hba-a2///Hba-a1	hemoglobin alpha, adult chain 2///hemoglobin alpha, adult chain 1
1455426_at	5.59e-09	-2.74	Epha3	Eph receptor A3
1416630_at	5.68e-09	1.92	Id3	inhibitor of DNA binding 3
1437529_at	6.20e-09	-5.04	Mrgprb1	MAS-related GPR, member B1
1459885_s_at	6.28e-09	1.15	Cox7c	cytochrome c oxidase subunit VIIc
1437580_s_at	6.46e-09	2.26	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2
1453721_a_at	6.52e-09	-1.84	Slc31a2	solute carrier family 31, member 2
1455175_at	6.73e-09	-1.19	Phf13	PHD finger protein 13
1428393_at	7.38e-09	1.72	Nrn1	neuritin 1
1426001_at	7.43e-09	2.55	Eomes	eomesodermin
1451353_at	7.47e-09	-1.26	Tm6sf1	transmembrane 6 superfamily member 1
1416654_at	7.68e-09	-1.48	Slc31a2	solute carrier family 31, member 2
1416673_at	7.90e-09	-1.80	Bace2	beta-site APP-cleaving enzyme 2
1456328_at	7.90e-09	1.40	Bank1	B cell scaffold protein with ankyrin repeats 1
1458039_at	8.15e-09	-1.29		
1421304_at	8.29e-09	-1.89	Klra2	killer cell lectin-like receptor, subfamily A, member 2
1448943_at	8.41e-09	-3.70	Nrp1	neuropilin 1
1425216_at	8.58e-09	1.87	Ffar2	free fatty acid receptor 2
1423289_a_at	8.76e-09	1.51	Tma16	translation machinery associated 16
1426215_at	9.72e-09	-3.87	Ddc	dopa decarboxylase
1458129_at	1.00e-08	4.26	Rora	RAR-related orphan receptor alpha
1450355_a_at	1.01e-08	-1.16	Capg	capping protein (actin filament), gelsolin-like
1418084_at	1.04e-08	-3.00	Nrp1	neuropilin 1
1442056_at	1.10e-08	-2.06		
1436173_at	1.14e-08	3.25	Dlc1	deleted in liver cancer 1
1427640_a_at	1.17e-08	2.63	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1452534_a_at	1.18e-08	9.19e-01	Hmgb2	high mobility group box 2
1457759_at	1.23e-08	-1.34	A630081D01Rik	RIKEN cDNA A630081D01 gene
1436717_x_at	1.31e-08	3.17	Hbb-y	hemoglobin Y, beta-like embryonic chain
1425506_at	1.32e-08	1.92	Mylk	myosin, light polypeptide kinase
1423231_at	1.33e-08	2.84	Nrgn	neurogranin
1436970_a_at	1.33e-08	8.26	Pdgfrb	platelet derived growth factor receptor, beta polypeptide
1453557_at	1.42e-08	2.05	4930562F07Rik	RIKEN cDNA 4930562F07 gene
1448928_at	1.54e-08	1.66	Hdac6	histone deacetylase 6
1428361_x_at	1.54e-08	2.74	Hba-a2///Hba-a1	hemoglobin alpha, adult chain 2///hemoglobin alpha, adult chain 1
1428294_at	1.56e-08	1.56	Zpr1	ZPR1 zinc finger
1449334_at	1.57e-08	1.83	Timp3	tissue inhibitor of metalloproteinase 3
1449567_at	1.58e-08	-2.34	Tktl1	transketolase-like 1
1416612_at	1.71e-08	3.22	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1
1451546_s_at	1.79e-08	-1.60	Tmem40	transmembrane protein 40
1449007_at	1.80e-08	1.51	Gm7334///Btg3	B-cell translocation gene 3 pseudogene///B cell translocation gene 3
1434990_at	1.81e-08	-1.04	Ppm1e	protein phosphatase 1E (PP2C domain containing)
1416165_at	1.92e-08	-9.00e-01	Rab31	RAB31, member RAS oncogene family
1448390_a_at	2.02e-08	-1.27	Dhrs3	dehydrogenase/reductase (SDR family) member 3
1422139_at	2.02e-08	-1.41	Plau	plasminogen activator, urokinase
1429682_at	2.03e-08	1.38	Fam46c	family with sequence similarity 46, member C
1449382_at	2.03e-08	1.80	Slc6a12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
1435832_at	2.08e-08	-2.30	Lrrc4	leucine rich repeat containing 4
1450237_at	2.09e-08	-1.87	Dnase2b	deoxyribonuclease II beta
1433885_at	2.18e-08	8.53e-01	Iqgap2	IQ motif containing GTPase activating protein 2
1428734_at	2.28e-08	1.26	Anapc15	anaphase prompoting complex C subunit 15
1419088_at	2.30e-08	2.05	Timp3	tissue inhibitor of metalloproteinase 3
1445918_at	2.37e-08	-1.27	Tmem2	transmembrane protein 2
1449877_s_at	2.51e-08	1.46	Kifc1	kinesin family member C1
1441598_at	2.52e-08	-2.28	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1455729_at	2.53e-08	-2.88	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1438565_at	2.54e-08	-1.39	A830010M20Rik	RIKEN cDNA A830010M20 gene
1433634_at	2.55e-08	9.76e-01	Irf2bp2	interferon regulatory factor 2 binding protein 2
1435402_at	2.73e-08	-1.18	Gramd1b	GRAM domain containing 1B
1457491_at	2.84e-08	-1.49	Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
1437784_at	2.92e-08	2.88	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1427673_a_at	2.93e-08	-3.47	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
1455849_at	2.99e-08	-1.88	Nav1	neuron navigator 1
1440298_at	3.00e-08	1.51	Treml2	triggering receptor expressed on myeloid cells-like 2
1443969_at	3.01e-08	2.65	Irs2	insulin receptor substrate 2
1418569_at	3.01e-08	-2.88	Fblim1	filamin binding LIM protein 1
1417960_at	3.06e-08	-2.92	Cpeb1	cytoplasmic polyadenylation element binding protein 1
1434052_at	3.10e-08	-8.95e-01	AI593442	expressed sequence AI593442
1454617_at	3.13e-08	1.48	Arrdc3	arrestin domain containing 3
1420064_s_at	3.16e-08	-2.50	Tktl1	transketolase-like 1
1435845_at	3.30e-08	1.98	Asphd2	aspartate beta-hydroxylase domain containing 2
1420065_at	3.35e-08	-2.92	Tktl1	transketolase-like 1
1432878_at	3.41e-08	-1.72	4930544N03Rik	RIKEN cDNA 4930544N03 gene
1436823_x_at	3.45e-08	3.24	Hbb-y	hemoglobin Y, beta-like embryonic chain
1436117_at	3.49e-08	-1.33	A830010M20Rik	RIKEN cDNA A830010M20 gene
1424755_at	3.60e-08	-1.55	Hip1	huntingtin interacting protein 1
1450272_at	3.62e-08	-1.97	Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8
1456061_at	3.80e-08	7.34e-01	Gimap8	GTPase, IMAP family member 8
1442542_at	3.86e-08	3.40	Eya4	EYA transcriptional coactivator and phosphatase 4
1455724_at	3.96e-08	-2.19	Prrg1	proline rich Gla (G-carboxyglutamic acid) 1
1435172_at	3.96e-08	2.66	Eomes	eomesodermin
1448944_at	4.28e-08	-4.00	Nrp1	neuropilin 1
1418106_at	4.42e-08	1.97	Hey2	hairy/enhancer-of-split related with YRPW motif 2
1433596_at	4.44e-08	2.65	Dnajc6	DnaJ heat shock protein family (Hsp40) member C6
1428662_a_at	4.45e-08	-1.60	Hopx	HOP homeobox
1448213_at	4.45e-08	-2.41	Anxa1	annexin A1
1421943_at	4.51e-08	-2.01	Tgfa	transforming growth factor alpha
1436882_at	4.69e-08	1.14	Ubl5	ubiquitin-like 5
1440037_at	4.75e-08	-1.38	Pbx1	pre B cell leukemia homeobox 1
1457923_at	4.80e-08	-1.70	C130045F17Rik	RIKEN cDNA C130045F17 gene
1449141_at	4.82e-08	-2.81	Fblim1	filamin binding LIM protein 1
1449510_at	4.89e-08	-1.27	Zfp467	zinc finger protein 467
1425215_at	4.95e-08	1.31	Ffar2	free fatty acid receptor 2
1456404_at	5.05e-08	-1.78	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
1448925_at	5.35e-08	2.20	Twist2	twist basic helix-loop-helix transcription factor 2
1448233_at	5.62e-08	7.91e-01	Prnp	prion protein
1416778_at	5.64e-08	-3.07	Sdpr	serum deprivation response
1450790_at	5.67e-08	1.90	Tg	thyroglobulin
1435040_at	5.90e-08	7.26e-01	Irak3	interleukin-1 receptor-associated kinase 3
1433448_at	6.08e-08	1.18	Slc25a44	solute carrier family 25, member 44
1427119_at	6.09e-08	1.84	Spink4	serine peptidase inhibitor, Kazal type 4
1459744_at	6.21e-08	-1.20	Cd53	CD53 antigen
1448596_at	6.25e-08	-1.31	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
1442878_at	6.55e-08	2.44	Prdx6	peroxiredoxin 6
1436520_at	6.79e-08	-1.08	Ahnak2	AHNAK nucleoprotein 2
1428861_at	7.03e-08	-1.60	Filip1l	filamin A interacting protein 1-like
1456741_s_at	7.11e-08	1.76	Gpm6a	glycoprotein m6a
1450621_a_at	7.50e-08	2.85	Hbb-y	hemoglobin Y, beta-like embryonic chain
1458159_at	7.73e-08	-2.97		
1436755_at	8.15e-08	1.40	Itih5	inter-alpha (globulin) inhibitor H5
1427202_at	8.37e-08	-7.39e-01	Mettl20	methyltransferase like 20
1441115_at	8.48e-08	1.91	D18Ertd232e	DNA segment, Chr 18, ERATO Doi 232, expressed
1428304_at	8.57e-08	1.63	Esco2	establishment of sister chromatid cohesion N-acetyltransferase 2
1452592_at	8.63e-08	1.05	Mgst2	microsomal glutathione S-transferase 2
1444690_at	8.63e-08	-1.89	Epha5	Eph receptor A5
1448664_a_at	8.80e-08	-2.70	Speg	SPEG complex locus
1427345_a_at	8.81e-08	3.40	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1
1444176_at	8.84e-08	-2.00	Atp6v0d2	ATPase, H+ transporting, lysosomal V0 subunit D2
1454708_at	8.88e-08	1.82	Ablim1	actin-binding LIM protein 1
1423626_at	9.03e-08	1.44	Dst	dystonin
1427650_a_at	9.15e-08	1.08	Runx1	runt related transcription factor 1
1451612_at	9.18e-08	2.76	Mt1	metallothionein 1
1440200_at	9.18e-08	2.62	Fam184b	family with sequence similarity 184, member B
1439397_at	9.24e-08	-1.37	Fmn1	formin 1
1448499_a_at	9.26e-08	4.07	Ephx2	epoxide hydrolase 2, cytoplasmic
1438763_at	9.27e-08	1.98	Dnah2	dynein, axonemal, heavy chain 2
1450019_at	9.36e-08	2.96	Cx3cr1	chemokine (C-X3-C motif) receptor 1
1435394_s_at	9.43e-08	-1.75	Rhoc	ras homolog family member C
1417995_at	9.83e-08	1.19	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
1445467_at	9.97e-08	1.89		
1435622_at	9.98e-08	-2.51	Hs3st3a1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
1442582_at	1.00e-07	2.56	Gcsam	germinal center associated, signaling and motility
1440033_at	1.00e-07	-1.59		
1438981_at	1.03e-07	-1.08		
1431213_a_at	1.04e-07	2.45	Gm3579	predicted gene 3579
1443604_at	1.05e-07	1.88		
1455995_at	1.06e-07	2.05	Arfgef3	ARFGEF family member 3
1459665_s_at	1.08e-07	2.61	Mrvi1	MRV integration site 1
1428923_at	1.09e-07	-1.22	Ppp1r3g	protein phosphatase 1, regulatory (inhibitor) subunit 3G
1426934_at	1.12e-07	-1.77	Nhsl1	NHS-like 1
1441917_s_at	1.13e-07	-1.30	Tmem40	transmembrane protein 40
1425933_a_at	1.15e-07	7.81e-01	Nt5c2	5'-nucleotidase, cytosolic II
1433582_at	1.19e-07	1.21	1190002N15Rik	RIKEN cDNA 1190002N15 gene
1436996_x_at	1.21e-07	1.99	Lyz1	lysozyme 1
1459595_at	1.25e-07	-1.18		
1452473_at	1.25e-07	1.29	Prr15	proline rich 15
1441362_at	1.26e-07	-1.03		
1423508_at	1.29e-07	9.87e-01	Kat6b	K(lysine) acetyltransferase 6B
1449049_at	1.30e-07	-2.29	Tlr1	toll-like receptor 1
1417828_at	1.30e-07	1.72	Aqp8	aquaporin 8
1417821_at	1.32e-07	1.71	D17H6S56E-5	DNA segment, Chr 17, human D6S56E 5
1431173_at	1.33e-07	-8.61e-01	Fam53b	family with sequence similarity 53, member B
1422561_at	1.35e-07	-1.68	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
1449455_at	1.35e-07	4.45	Hck	hemopoietic cell kinase
1434458_at	1.38e-07	-2.14	Fst	follistatin
1449164_at	1.44e-07	-1.28	Cd68	CD68 antigen
1434450_s_at	1.44e-07	1.98	Adrbk2	adrenergic receptor kinase, beta 2
1448231_at	1.45e-07	1.65	Fkbp5	FK506 binding protein 5
1439426_x_at	1.45e-07	2.57	Lyz1	lysozyme 1
1449629_s_at	1.47e-07	9.86e-01	Snrpd3	small nuclear ribonucleoprotein D3
1451474_a_at	1.49e-07	-1.21	Parp8	poly (ADP-ribose) polymerase family, member 8
1426715_s_at	1.50e-07	-1.59	Slc46a1	solute carrier family 46, member 1
1416635_at	1.51e-07	-1.59	Smpdl3a	sphingomyelin phosphodiesterase, acid-like 3A
1416097_at	1.54e-07	-1.92	Lrrc4	leucine rich repeat containing 4
1417911_at	1.54e-07	1.68	Ccna2	cyclin A2
1451611_at	1.54e-07	-1.32	Pla2g16	phospholipase A2, group XVI
1456412_a_at	1.59e-07	-1.13	Inpp5k	inositol polyphosphate 5-phosphatase K
1433813_at	1.60e-07	1.49	Ndc1	NDC1 transmembrane nucleoporin
1418406_at	1.60e-07	-1.59	Pde8a	phosphodiesterase 8A
1451475_at	1.61e-07	-1.51	Plxnd1	plexin D1
1431980_a_at	1.65e-07	-1.16	As3mt	arsenic (+3 oxidation state) methyltransferase
1448530_at	1.67e-07	1.33	Gmpr	guanosine monophosphate reductase
1447171_at	1.68e-07	-8.73e-01		
1439552_at	1.69e-07	1.11	Trio	triple functional domain (PTPRF interacting)
1445597_s_at	1.69e-07	-1.38	Pla2g16	phospholipase A2, group XVI
1440663_at	1.70e-07	1.80		
1439750_at	1.72e-07	1.92		
1422191_at	1.72e-07	-6.42e-01	Cd200r1	CD200 receptor 1
1452958_at	1.74e-07	2.08	Asphd2	aspartate beta-hydroxylase domain containing 2
1422444_at	1.75e-07	-1.77	Itga6	integrin alpha 6
1424400_a_at	1.79e-07	-7.53e-01	Aldh1l1	aldehyde dehydrogenase 1 family, member L1
1419089_at	1.81e-07	1.72	Timp3	tissue inhibitor of metalloproteinase 3
1416155_at	1.81e-07	1.26	Hmgb3	high mobility group box 3
1417184_s_at	1.83e-07	2.29	Hbb-bt///Hbb-bs///Hbb-b2///Hbb-b1	hemoglobin, beta adult t chain///hemoglobin, beta adult s chain///hemoglobin, beta adult minor chain///hemoglobin, beta adult major chain
1433891_at	1.87e-07	1.12	Lgr4	leucine-rich repeat-containing G protein-coupled receptor 4
1416195_at	1.87e-07	-6.95e-01	Inpp5k	inositol polyphosphate 5-phosphatase K
1424192_at	1.88e-07	7.44e-01	Fam216a	family with sequence similarity 216, member A
1436368_at	1.88e-07	1.51	Slc16a10	solute carrier family 16 (monocarboxylic acid transporters), member 10
1436763_a_at	1.93e-07	1.51	Klf9	Kruppel-like factor 9
1430534_at	1.97e-07	-7.57e-01	Rnase6	ribonuclease, RNase A family, 6
1452864_at	1.98e-07	8.02e-01	Med12l	mediator complex subunit 12-like
1454795_at	1.99e-07	-8.70e-01	Cobll1	Cobl-like 1
1438061_at	2.02e-07	2.48	4930523C07Rik	RIKEN cDNA 4930523C07 gene
1439912_at	2.07e-07	1.16	Ppp2ca	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
1424471_at	2.08e-07	-1.55	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
1446497_at	2.08e-07	-1.83		
1434295_at	2.10e-07	9.19e-01	Rasgrp1	RAS guanyl releasing protein 1
1433028_at	2.14e-07	8.01e-01	4833411I10Rik	RIKEN cDNA 4833411I10 gene
1436907_at	2.16e-07	-1.48	Nav1	neuron navigator 1
1444376_at	2.16e-07	9.85e-01	Sesn1	sestrin 1
1440801_s_at	2.19e-07	3.01	Adrbk2	adrenergic receptor kinase, beta 2
1417701_at	2.24e-07	2.47	Ppp1r14c	protein phosphatase 1, regulatory (inhibitor) subunit 14c
1429206_at	2.25e-07	2.77	Rhobtb1	Rho-related BTB domain containing 1
1444232_at	2.33e-07	-1.00	Prkg1	protein kinase, cGMP-dependent, type I
1448547_at	2.34e-07	-1.41	Rassf3	Ras association (RalGDS/AF-6) domain family member 3
1434592_at	2.38e-07	1.46	Slc16a10	solute carrier family 16 (monocarboxylic acid transporters), member 10
1452040_a_at	2.41e-07	2.30	Cdca3	cell division cycle associated 3
1448605_at	2.41e-07	-1.83	Rhoc	ras homolog family member C
1417910_at	2.41e-07	2.27	Ccna2	cyclin A2
1437900_at	2.42e-07	1.80	4930523C07Rik	RIKEN cDNA 4930523C07 gene
1428938_at	2.43e-07	-3.04	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1435455_at	2.44e-07	-2.24	Iffo2	intermediate filament family orphan 2
1442820_at	2.52e-07	1.63		
1425383_a_at	2.58e-07	-1.24	Pbx1	pre B cell leukemia homeobox 1
1418499_a_at	2.59e-07	-7.80e-01	Kcne3	potassium voltage-gated channel, Isk-related subfamily, gene 3
1425815_a_at	2.61e-07	2.71	Hmmr	hyaluronan mediated motility receptor (RHAMM)
1434463_at	2.63e-07	-1.04	Bfsp2	beaded filament structural protein 2, phakinin
1429159_at	2.68e-07	1.28	Itih5	inter-alpha (globulin) inhibitor H5
1437912_at	2.71e-07	2.14	Iqsec3	IQ motif and Sec7 domain 3
1437238_x_at	2.84e-07	6.97e-01	Nmd3	NMD3 ribosome export adaptor
1450758_at	2.90e-07	2.19	Cntnap2	contactin associated protein-like 2
1433719_at	2.91e-07	1.75	Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), member 9
1420557_at	2.92e-07	-1.60	Epha5	Eph receptor A5
1419161_a_at	2.92e-07	1.98	Nox4	NADPH oxidase 4
1417400_at	2.95e-07	-8.45e-01	Rai14	retinoic acid induced 14
1456341_a_at	2.95e-07	1.27	Klf9	Kruppel-like factor 9
1425099_a_at	2.98e-07	1.17	Arntl	aryl hydrocarbon receptor nuclear translocator-like
1448113_at	3.00e-07	1.72	Stmn1	stathmin 1
1424970_at	3.08e-07	-1.06	Purg	purine-rich element binding protein G
1451069_at	3.09e-07	1.77	Pim3	proviral integration site 3
1448123_s_at	3.10e-07	3.33	Tgfbi	transforming growth factor, beta induced
1430183_at	3.15e-07	-1.60	4833414E09Rik	RIKEN cDNA 4833414E09 gene
1460230_at	3.19e-07	1.45	Syn2	synapsin II
1454933_at	3.19e-07	-1.18	Eva1b	eva-1 homolog B (C. elegans)
1431771_a_at	3.19e-07	7.82e-01	Irak1bp1	interleukin-1 receptor-associated kinase 1 binding protein 1
1439786_at	3.19e-07	6.99e-01	Gab2	growth factor receptor bound protein 2-associated protein 2
1449061_a_at	3.25e-07	1.62	Prim1	DNA primase, p49 subunit
1438760_x_at	3.29e-07	-1.18	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)
1437782_at	3.31e-07	1.24	Cntnap2	contactin associated protein-like 2
1430574_at	3.41e-07	2.00	Cdkn3	cyclin-dependent kinase inhibitor 3
1428481_s_at	3.41e-07	1.41	Cdca8	cell division cycle associated 8
1433883_at	3.42e-07	-1.33	Tpm4	tropomyosin 4
1434557_at	3.46e-07	-1.79	Hip1	huntingtin interacting protein 1
1429914_at	3.50e-07	9.04e-01	Epc1	enhancer of polycomb homolog 1 (Drosophila)
1430811_a_at	3.50e-07	2.55	Nuf2	NUF2, NDC80 kinetochore complex component
1447500_at	3.60e-07	3.34	Cux2	cut-like homeobox 2
1460251_at	3.61e-07	-1.32	Fas	Fas (TNF receptor superfamily member 6)
1426852_x_at	3.61e-07	2.55	Nov	nephroblastoma overexpressed gene
1435880_at	3.62e-07	-7.55e-01	Ankrd50	ankyrin repeat domain 50
1448686_at	3.65e-07	-7.76e-01	Il16	interleukin 16
1456609_at	3.66e-07	-9.43e-01	Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1
1458218_s_at	3.75e-07	1.01	Pde7a	phosphodiesterase 7A
1455647_at	3.77e-07	-1.16	Ar	androgen receptor
1431008_at	3.81e-07	1.79	H2-Q6///LOC68395///H2-Q8	histocompatibility 2, Q region locus 6///histocompatibility 2, Q region locus 6-like///histocompatibility 2, Q region locus 8
1425528_at	3.81e-07	2.95	Prrx1	paired related homeobox 1
1451139_at	3.83e-07	1.49	Slc39a4	solute carrier family 39 (zinc transporter), member 4
1453344_at	3.83e-07	7.63e-01	1810032O08Rik	RIKEN cDNA 1810032O08 gene
1421688_a_at	3.85e-07	-2.58	Ccl1	chemokine (C-C motif) ligand 1
1438009_at	3.93e-07	1.63	Hist1h2ao///Hist1h2ai///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac	histone cluster 1, H2ao///histone cluster 1, H2ai///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac
1453082_at	3.93e-07	1.44	Tulp3	tubby-like protein 3
1450913_at	4.00e-07	-2.68	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6
1422245_a_at	4.04e-07	3.00	Mrvi1	MRV integration site 1
1459490_at	4.04e-07	-1.70		
1437190_at	4.10e-07	-1.47	Styk1	serine/threonine/tyrosine kinase 1
1454766_at	4.15e-07	-6.87e-01	Amn1	antagonist of mitotic exit network 1
1435050_at	4.19e-07	2.43	Arfgef3	ARFGEF family member 3
1438076_at	4.28e-07	1.05	Gm7429///Gm6570///Gm6109///Gm5481///Rpl30	predicted pseudogene 7429///predicted gene 6570///predicted gene 6109///predicted gene 5481///ribosomal protein L30
1448765_at	4.30e-07	-1.04	Fyn	Fyn proto-oncogene
1460196_at	4.31e-07	-7.31e-01	Cbr1	carbonyl reductase 1
1451204_at	4.31e-07	3.29	Scara5	scavenger receptor class A, member 5
1434867_at	4.33e-07	-1.55	Slc4a11	solute carrier family 4, sodium bicarbonate transporter-like, member 11
1437155_a_at	4.34e-07	-3.59	Wwtr1	WW domain containing transcription regulator 1
1429969_at	4.37e-07	9.95e-01	4833403J16Rik	RIKEN cDNA 4833403J16 gene
1438466_at	4.44e-07	-1.62	Dnah7c///Dnah7b	dynein, axonemal, heavy chain 7C///dynein, axonemal, heavy chain 7B
1460401_at	4.45e-07	8.97e-01	Edem3	ER degradation enhancer, mannosidase alpha-like 3
1457768_at	4.45e-07	9.00e-01	Prune	prune exopolyphosphatase
