ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1419297_at	8.63e-05	1.92e-09	1.73e+01	12.18826	1.85	H2-Oa	histocompatibility 2, O region alpha locus
1449335_at	8.73e-05	1.94e-09	1.73e+01	12.177648	1.95	Timp3	tissue inhibitor of metalloproteinase 3
1437920_at	8.77e-05	1.95e-09	-1.73e+01	12.1733627	-1.64	Epha5	Eph receptor A5
1418829_a_at	9.47e-05	2.10e-09	-1.72e+01	12.103147	-2.11	Eno2	enolase 2, gamma neuronal
1441727_s_at	1.04e-04	2.30e-09	-1.70e+01	12.0186219	-1.87	Zfp467	zinc finger protein 467
1456367_at	1.05e-04	2.33e-09	1.70e+01	12.0070244	1.78	Fut8	fucosyltransferase 8
1417585_at	1.07e-04	2.37e-09	1.70e+01	11.9943205	1.97	Nup210	nucleoporin 210
1416021_a_at	1.08e-04	2.39e-09	1.70e+01	11.9842825	2.63	Fabp5	fatty acid binding protein 5, epidermal
1441163_at	1.08e-04	2.40e-09	1.70e+01	11.981108	1.84	Med12l	mediator complex subunit 12-like
1418369_at	1.12e-04	2.50e-09	1.69e+01	11.9452011	1.60	Prim1	DNA primase, p49 subunit
1417903_at	1.16e-04	2.57e-09	-1.68e+01	11.9179665	-1.17	Dfna5	deafness, autosomal dominant 5 (human)
1455101_at	1.29e-04	2.87e-09	1.67e+01	11.817294	3.00	Phactr2	phosphatase and actin regulator 2
1449187_at	1.31e-04	2.90e-09	-1.67e+01	11.8052322	-1.20	Pdgfa	platelet derived growth factor, alpha
1416022_at	1.36e-04	3.02e-09	1.66e+01	11.7705463	3.50	Fabp5	fatty acid binding protein 5, epidermal
1455450_at	1.36e-04	3.02e-09	-1.66e+01	11.7686276	-2.51	Ptpn3	protein tyrosine phosphatase, non-receptor type 3
1420796_at	1.38e-04	3.06e-09	1.66e+01	11.7566762	1.45	Ahrr	aryl-hydrocarbon receptor repressor
1415892_at	1.40e-04	3.11e-09	-1.66e+01	11.742745	-1.41	Sgpl1	sphingosine phosphate lyase 1
1419226_at	1.42e-04	3.16e-09	1.65e+01	11.72762	1.66	Cd96	CD96 antigen
1450627_at	1.45e-04	3.22e-09	1.65e+01	11.7102223	9.11e-01	Ank	progressive ankylosis
1422798_at	1.46e-04	3.25e-09	1.65e+01	11.7015329	1.88	Cntnap2	contactin associated protein-like 2
1453851_a_at	1.55e-04	3.43e-09	1.64e+01	11.6498576	2.03	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma
1435286_at	1.63e-04	3.61e-09	-1.63e+01	11.602962	-2.16	Epha5	Eph receptor A5
1428851_at	1.78e-04	3.96e-09	-1.62e+01	11.5175716	-1.04	Pxdc1	PX domain containing 1
1424966_at	1.89e-04	4.19e-09	-1.61e+01	11.4651703	-1.38	Tmem40	transmembrane protein 40
1419486_at	1.96e-04	4.35e-09	1.60e+01	11.4301699	1.59	Foxc1	forkhead box C1
1419564_at	2.17e-04	4.82e-09	-1.59e+01	11.3342849	-1.88	Zfp467	zinc finger protein 467
1419073_at	2.18e-04	4.83e-09	-1.59e+01	11.3317391	-1.98	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1458634_at	2.20e-04	4.89e-09	1.59e+01	11.3197328	9.18e-01		
1452757_s_at	2.26e-04	5.01e-09	1.58e+01	11.2969049	3.36	Hba-a2///Hba-a1	hemoglobin alpha, adult chain 2///hemoglobin alpha, adult chain 1
1455426_at	2.52e-04	5.59e-09	-1.57e+01	11.1948086	-2.74	Epha3	Eph receptor A3
1416630_at	2.56e-04	5.68e-09	1.57e+01	11.1805128	1.92	Id3	inhibitor of DNA binding 3
1437529_at	2.79e-04	6.20e-09	-1.55e+01	11.0975392	-5.04	Mrgprb1	MAS-related GPR, member B1
1459885_s_at	2.83e-04	6.28e-09	1.55e+01	11.0846033	1.15	Cox7c	cytochrome c oxidase subunit VIIc
1437580_s_at	2.91e-04	6.46e-09	1.55e+01	11.0579852	2.26	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2
1453721_a_at	2.93e-04	6.52e-09	-1.55e+01	11.0505027	-1.84	Slc31a2	solute carrier family 31, member 2
1455175_at	3.03e-04	6.73e-09	-1.54e+01	11.019999	-1.19	Phf13	PHD finger protein 13
1428393_at	3.32e-04	7.38e-09	1.53e+01	10.9335437	1.72	Nrn1	neuritin 1
1426001_at	3.34e-04	7.43e-09	1.53e+01	10.9269828	2.55	Eomes	eomesodermin
1451353_at	3.36e-04	7.47e-09	-1.53e+01	10.9211291	-1.26	Tm6sf1	transmembrane 6 superfamily member 1
1416654_at	3.46e-04	7.68e-09	-1.52e+01	10.8946461	-1.48	Slc31a2	solute carrier family 31, member 2
1416673_at	3.56e-04	7.90e-09	-1.52e+01	10.8684085	-1.80	Bace2	beta-site APP-cleaving enzyme 2
1456328_at	3.56e-04	7.90e-09	1.52e+01	10.8681397	1.40	Bank1	B cell scaffold protein with ankyrin repeats 1
1458039_at	3.67e-04	8.15e-09	-1.51e+01	10.839272	-1.29		
1421304_at	3.73e-04	8.29e-09	-1.51e+01	10.8226763	-1.89	Klra2	killer cell lectin-like receptor, subfamily A, member 2
1448943_at	3.79e-04	8.41e-09	-1.51e+01	10.8089184	-3.70	Nrp1	neuropilin 1
1425216_at	3.86e-04	8.58e-09	1.51e+01	10.7903005	1.87	Ffar2	free fatty acid receptor 2
1423289_a_at	3.94e-04	8.76e-09	1.50e+01	10.7706029	1.51	Tma16	translation machinery associated 16
1426215_at	4.38e-04	9.72e-09	-1.49e+01	10.6712001	-3.87	Ddc	dopa decarboxylase
1458129_at	4.50e-04	1.00e-08	1.49e+01	10.6438579	4.26	Rora	RAR-related orphan receptor alpha
1450355_a_at	4.53e-04	1.01e-08	-1.48e+01	10.6383886	-1.16	Capg	capping protein (actin filament), gelsolin-like
1418084_at	4.68e-04	1.04e-08	-1.48e+01	10.6070767	-3.00	Nrp1	neuropilin 1
1442056_at	4.97e-04	1.10e-08	-1.47e+01	10.5495944	-2.06		
1436173_at	5.13e-04	1.14e-08	1.47e+01	10.5207968	3.25	Dlc1	deleted in liver cancer 1
1427640_a_at	5.26e-04	1.17e-08	1.46e+01	10.4958429	2.63	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1452534_a_at	5.30e-04	1.18e-08	1.46e+01	10.4878817	9.19e-01	Hmgb2	high mobility group box 2
1457759_at	5.51e-04	1.23e-08	-1.46e+01	10.4508052	-1.34	A630081D01Rik	RIKEN cDNA A630081D01 gene
1436717_x_at	5.89e-04	1.31e-08	1.45e+01	10.3880646	3.17	Hbb-y	hemoglobin Y, beta-like embryonic chain
1425506_at	5.95e-04	1.32e-08	1.45e+01	10.3785923	1.92	Mylk	myosin, light polypeptide kinase
1423231_at	5.97e-04	1.33e-08	1.45e+01	10.3740738	2.84	Nrgn	neurogranin
1436970_a_at	5.98e-04	1.33e-08	1.45e+01	10.3724728	8.26	Pdgfrb	platelet derived growth factor receptor, beta polypeptide
1453557_at	6.40e-04	1.42e-08	1.44e+01	10.3085253	2.05	4930562F07Rik	RIKEN cDNA 4930562F07 gene
1448928_at	6.91e-04	1.54e-08	1.43e+01	10.234706	1.66	Hdac6	histone deacetylase 6
1428361_x_at	6.91e-04	1.54e-08	1.43e+01	10.2343517	2.74	Hba-a2///Hba-a1	hemoglobin alpha, adult chain 2///hemoglobin alpha, adult chain 1
1428294_at	7.02e-04	1.56e-08	1.42e+01	10.219739	1.56	Zpr1	ZPR1 zinc finger
1449334_at	7.05e-04	1.57e-08	1.42e+01	10.2154397	1.83	Timp3	tissue inhibitor of metalloproteinase 3
1449567_at	7.13e-04	1.58e-08	-1.42e+01	10.204946	-2.34	Tktl1	transketolase-like 1
1416612_at	7.68e-04	1.71e-08	1.41e+01	10.1328126	3.22	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1
1451546_s_at	8.07e-04	1.79e-08	-1.41e+01	10.0855349	-1.60	Tmem40	transmembrane protein 40
1449007_at	8.10e-04	1.80e-08	1.41e+01	10.081496	1.51	Gm7334///Btg3	B-cell translocation gene 3 pseudogene///B cell translocation gene 3
1434990_at	8.13e-04	1.81e-08	-1.41e+01	10.0782252	-1.04	Ppm1e	protein phosphatase 1E (PP2C domain containing)
1416165_at	8.62e-04	1.92e-08	-1.40e+01	10.0210523	-9.00e-01	Rab31	RAB31, member RAS oncogene family
1448390_a_at	9.08e-04	2.02e-08	-1.39e+01	9.9709433	-1.27	Dhrs3	dehydrogenase/reductase (SDR family) member 3
1422139_at	9.11e-04	2.02e-08	-1.39e+01	9.9683818	-1.41	Plau	plasminogen activator, urokinase
1429682_at	9.12e-04	2.03e-08	1.39e+01	9.967594	1.38	Fam46c	family with sequence similarity 46, member C
1449382_at	9.13e-04	2.03e-08	1.39e+01	9.9659455	1.80	Slc6a12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
1435832_at	9.34e-04	2.08e-08	-1.39e+01	9.9443641	-2.30	Lrrc4	leucine rich repeat containing 4
1450237_at	9.40e-04	2.09e-08	-1.39e+01	9.937467	-1.87	Dnase2b	deoxyribonuclease II beta
1433885_at	9.80e-04	2.18e-08	1.38e+01	9.8978154	8.53e-01	Iqgap2	IQ motif containing GTPase activating protein 2
1428734_at	1.02e-03	2.28e-08	1.38e+01	9.8549117	1.26	Anapc15	anaphase prompoting complex C subunit 15
1419088_at	1.03e-03	2.30e-08	1.37e+01	9.8459795	2.05	Timp3	tissue inhibitor of metalloproteinase 3
1445918_at	1.06e-03	2.37e-08	-1.37e+01	9.8177702	-1.27	Tmem2	transmembrane protein 2
1449877_s_at	1.13e-03	2.51e-08	1.36e+01	9.7596585	1.46	Kifc1	kinesin family member C1
1441598_at	1.13e-03	2.52e-08	-1.36e+01	9.7580148	-2.28	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1455729_at	1.14e-03	2.53e-08	-1.36e+01	9.7517043	-2.88	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1438565_at	1.14e-03	2.54e-08	-1.36e+01	9.7482155	-1.39	A830010M20Rik	RIKEN cDNA A830010M20 gene
1433634_at	1.15e-03	2.55e-08	1.36e+01	9.7442969	9.76e-01	Irf2bp2	interferon regulatory factor 2 binding protein 2
1435402_at	1.23e-03	2.73e-08	-1.35e+01	9.679879	-1.18	Gramd1b	GRAM domain containing 1B
1457491_at	1.28e-03	2.84e-08	-1.35e+01	9.6403221	-1.49	Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
1437784_at	1.31e-03	2.92e-08	1.34e+01	9.6141257	2.88	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1427673_a_at	1.32e-03	2.93e-08	-1.34e+01	9.6086782	-3.47	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
1455849_at	1.35e-03	2.99e-08	-1.34e+01	9.5897679	-1.88	Nav1	neuron navigator 1
1440298_at	1.35e-03	3.00e-08	1.34e+01	9.5857583	1.51	Treml2	triggering receptor expressed on myeloid cells-like 2
1443969_at	1.35e-03	3.01e-08	1.34e+01	9.5852234	2.65	Irs2	insulin receptor substrate 2
1418569_at	1.35e-03	3.01e-08	-1.34e+01	9.583717	-2.88	Fblim1	filamin binding LIM protein 1
1417960_at	1.37e-03	3.06e-08	-1.34e+01	9.5694318	-2.92	Cpeb1	cytoplasmic polyadenylation element binding protein 1
1434052_at	1.40e-03	3.10e-08	-1.34e+01	9.5545687	-8.95e-01	AI593442	expressed sequence AI593442
1454617_at	1.41e-03	3.13e-08	1.33e+01	9.54739	1.48	Arrdc3	arrestin domain containing 3
1420064_s_at	1.42e-03	3.16e-08	-1.33e+01	9.5365053	-2.50	Tktl1	transketolase-like 1
1435845_at	1.49e-03	3.30e-08	1.33e+01	9.4936312	1.98	Asphd2	aspartate beta-hydroxylase domain containing 2
1420065_at	1.51e-03	3.35e-08	-1.33e+01	9.4805259	-2.92	Tktl1	transketolase-like 1
1432878_at	1.53e-03	3.41e-08	-1.32e+01	9.4639582	-1.72	4930544N03Rik	RIKEN cDNA 4930544N03 gene
1436823_x_at	1.55e-03	3.45e-08	1.32e+01	9.450934	3.24	Hbb-y	hemoglobin Y, beta-like embryonic chain
1436117_at	1.57e-03	3.49e-08	-1.32e+01	9.4391191	-1.33	A830010M20Rik	RIKEN cDNA A830010M20 gene
1424755_at	1.62e-03	3.60e-08	-1.32e+01	9.410194	-1.55	Hip1	huntingtin interacting protein 1
1450272_at	1.63e-03	3.62e-08	-1.32e+01	9.4051012	-1.97	Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8
1456061_at	1.71e-03	3.80e-08	1.31e+01	9.3582283	7.34e-01	Gimap8	GTPase, IMAP family member 8
1442542_at	1.73e-03	3.86e-08	1.31e+01	9.3427252	3.40	Eya4	EYA transcriptional coactivator and phosphatase 4
1455724_at	1.78e-03	3.96e-08	-1.31e+01	9.3174658	-2.19	Prrg1	proline rich Gla (G-carboxyglutamic acid) 1
1435172_at	1.78e-03	3.96e-08	1.31e+01	9.3170973	2.66	Eomes	eomesodermin
1448944_at	1.92e-03	4.28e-08	-1.30e+01	9.2417511	-4.00	Nrp1	neuropilin 1
1418106_at	1.99e-03	4.42e-08	1.29e+01	9.2101631	1.97	Hey2	hairy/enhancer-of-split related with YRPW motif 2
1433596_at	1.99e-03	4.44e-08	1.29e+01	9.2058631	2.65	Dnajc6	DnaJ heat shock protein family (Hsp40) member C6
1428662_a_at	2.00e-03	4.45e-08	-1.29e+01	9.201723	-1.60	Hopx	HOP homeobox
1448213_at	2.00e-03	4.45e-08	-1.29e+01	9.2015868	-2.41	Anxa1	annexin A1
1421943_at	2.03e-03	4.51e-08	-1.29e+01	9.1902486	-2.01	Tgfa	transforming growth factor alpha
1436882_at	2.11e-03	4.69e-08	1.28e+01	9.1505076	1.14	Ubl5	ubiquitin-like 5
1440037_at	2.14e-03	4.75e-08	-1.28e+01	9.1386654	-1.38	Pbx1	pre B cell leukemia homeobox 1
1457923_at	2.16e-03	4.80e-08	-1.28e+01	9.1284334	-1.70	C130045F17Rik	RIKEN cDNA C130045F17 gene
1449141_at	2.17e-03	4.82e-08	-1.28e+01	9.1244578	-2.81	Fblim1	filamin binding LIM protein 1
1449510_at	2.20e-03	4.89e-08	-1.28e+01	9.1093459	-1.27	Zfp467	zinc finger protein 467
1425215_at	2.23e-03	4.95e-08	1.28e+01	9.0975911	1.31	Ffar2	free fatty acid receptor 2
1456404_at	2.27e-03	5.05e-08	-1.28e+01	9.0791691	-1.78	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
1448925_at	2.40e-03	5.35e-08	1.27e+01	9.0218938	2.20	Twist2	twist basic helix-loop-helix transcription factor 2
1448233_at	2.53e-03	5.62e-08	1.26e+01	8.9734648	7.91e-01	Prnp	prion protein
1416778_at	2.53e-03	5.64e-08	-1.26e+01	8.9705756	-3.07	Sdpr	serum deprivation response
1450790_at	2.55e-03	5.67e-08	1.26e+01	8.9649936	1.90	Tg	thyroglobulin
1435040_at	2.65e-03	5.90e-08	1.26e+01	8.9255552	7.26e-01	Irak3	interleukin-1 receptor-associated kinase 3
1433448_at	2.73e-03	6.08e-08	1.25e+01	8.8963393	1.18	Slc25a44	solute carrier family 25, member 44
1427119_at	2.74e-03	6.09e-08	1.25e+01	8.8940885	1.84	Spink4	serine peptidase inhibitor, Kazal type 4
1459744_at	2.79e-03	6.21e-08	-1.25e+01	8.8755718	-1.20	Cd53	CD53 antigen
1448596_at	2.81e-03	6.25e-08	-1.25e+01	8.8691796	-1.31	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
1442878_at	2.94e-03	6.55e-08	1.24e+01	8.8238877	2.44	Prdx6	peroxiredoxin 6
1436520_at	3.05e-03	6.79e-08	-1.24e+01	8.787634	-1.08	Ahnak2	AHNAK nucleoprotein 2
1428861_at	3.16e-03	7.03e-08	-1.24e+01	8.7541446	-1.60	Filip1l	filamin A interacting protein 1-like
1456741_s_at	3.19e-03	7.11e-08	1.23e+01	8.7425601	1.76	Gpm6a	glycoprotein m6a
1450621_a_at	3.37e-03	7.50e-08	1.23e+01	8.6895169	2.85	Hbb-y	hemoglobin Y, beta-like embryonic chain
1458159_at	3.47e-03	7.73e-08	-1.22e+01	8.6596543	-2.97		
1436755_at	3.66e-03	8.15e-08	1.22e+01	8.6075929	1.40	Itih5	inter-alpha (globulin) inhibitor H5
1427202_at	3.76e-03	8.37e-08	-1.22e+01	8.5813662	-7.39e-01	Mettl20	methyltransferase like 20
1441115_at	3.81e-03	8.48e-08	1.21e+01	8.5679573	1.91	D18Ertd232e	DNA segment, Chr 18, ERATO Doi 232, expressed
1428304_at	3.85e-03	8.57e-08	1.21e+01	8.5573915	1.63	Esco2	establishment of sister chromatid cohesion N-acetyltransferase 2
1452592_at	3.88e-03	8.63e-08	1.21e+01	8.5513887	1.05	Mgst2	microsomal glutathione S-transferase 2
1444690_at	3.88e-03	8.63e-08	-1.21e+01	8.5510402	-1.89	Epha5	Eph receptor A5
1448664_a_at	3.95e-03	8.80e-08	-1.21e+01	8.5319307	-2.70	Speg	SPEG complex locus
1427345_a_at	3.96e-03	8.81e-08	1.21e+01	8.5307391	3.40	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1
1444176_at	3.97e-03	8.84e-08	-1.21e+01	8.5267741	-2.00	Atp6v0d2	ATPase, H+ transporting, lysosomal V0 subunit D2
1454708_at	3.99e-03	8.88e-08	1.21e+01	8.5229715	1.82	Ablim1	actin-binding LIM protein 1
1423626_at	4.06e-03	9.03e-08	1.21e+01	8.5062328	1.44	Dst	dystonin
1427650_a_at	4.11e-03	9.15e-08	1.21e+01	8.4931815	1.08	Runx1	runt related transcription factor 1
1451612_at	4.12e-03	9.18e-08	1.21e+01	8.4903781	2.76	Mt1	metallothionein 1
1440200_at	4.12e-03	9.18e-08	1.20e+01	8.4896003	2.62	Fam184b	family with sequence similarity 184, member B
1439397_at	4.15e-03	9.24e-08	-1.20e+01	8.4829649	-1.37	Fmn1	formin 1
1448499_a_at	4.16e-03	9.26e-08	1.20e+01	8.4817619	4.07	Ephx2	epoxide hydrolase 2, cytoplasmic
1438763_at	4.16e-03	9.27e-08	1.20e+01	8.4799984	1.98	Dnah2	dynein, axonemal, heavy chain 2
1450019_at	4.20e-03	9.36e-08	1.20e+01	8.4705373	2.96	Cx3cr1	chemokine (C-X3-C motif) receptor 1
1435394_s_at	4.24e-03	9.43e-08	-1.20e+01	8.4632527	-1.75	Rhoc	ras homolog family member C
1417995_at	4.42e-03	9.83e-08	1.20e+01	8.4219146	1.19	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
1445467_at	4.48e-03	9.97e-08	1.20e+01	8.4085788	1.89		
1435622_at	4.48e-03	9.98e-08	-1.20e+01	8.4071545	-2.51	Hs3st3a1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
1442582_at	4.50e-03	1.00e-07	1.19e+01	8.4031232	2.56	Gcsam	germinal center associated, signaling and motility
1440033_at	4.51e-03	1.00e-07	-1.19e+01	8.4009854	-1.59		
1438981_at	4.62e-03	1.03e-07	-1.19e+01	8.3761935	-1.08		
1431213_a_at	4.66e-03	1.04e-07	1.19e+01	8.3692882	2.45	Gm3579	predicted gene 3579
1443604_at	4.69e-03	1.05e-07	1.19e+01	8.3610398	1.88		
1455995_at	4.78e-03	1.06e-07	1.19e+01	8.3438374	2.05	Arfgef3	ARFGEF family member 3
1459665_s_at	4.83e-03	1.08e-07	1.19e+01	8.3318429	2.61	Mrvi1	MRV integration site 1
1428923_at	4.91e-03	1.09e-07	-1.18e+01	8.3155968	-1.22	Ppp1r3g	protein phosphatase 1, regulatory (inhibitor) subunit 3G
1426934_at	5.05e-03	1.12e-07	-1.18e+01	8.2893835	-1.77	Nhsl1	NHS-like 1
1441917_s_at	5.08e-03	1.13e-07	-1.18e+01	8.2833429	-1.30	Tmem40	transmembrane protein 40
1425933_a_at	5.17e-03	1.15e-07	1.18e+01	8.2654855	7.81e-01	Nt5c2	5'-nucleotidase, cytosolic II
1433582_at	5.32e-03	1.19e-07	1.18e+01	8.2364468	1.21	1190002N15Rik	RIKEN cDNA 1190002N15 gene
1436996_x_at	5.44e-03	1.21e-07	1.17e+01	8.21448	1.99	Lyz1	lysozyme 1
1459595_at	5.61e-03	1.25e-07	-1.17e+01	8.184601	-1.18		
1452473_at	5.61e-03	1.25e-07	1.17e+01	8.1835771	1.29	Prr15	proline rich 15
1441362_at	5.65e-03	1.26e-07	-1.17e+01	8.1760733	-1.03		
1423508_at	5.80e-03	1.29e-07	1.17e+01	8.1508977	9.87e-01	Kat6b	K(lysine) acetyltransferase 6B
1449049_at	5.84e-03	1.30e-07	-1.17e+01	8.1436279	-2.29	Tlr1	toll-like receptor 1
1417828_at	5.86e-03	1.30e-07	1.17e+01	8.1412405	1.72	Aqp8	aquaporin 8
1417821_at	5.92e-03	1.32e-07	1.16e+01	8.1303494	1.71	D17H6S56E-5	DNA segment, Chr 17, human D6S56E 5
1431173_at	5.97e-03	1.33e-07	-1.16e+01	8.121408	-8.61e-01	Fam53b	family with sequence similarity 53, member B
1422561_at	6.05e-03	1.35e-07	-1.16e+01	8.1086419	-1.68	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
1449455_at	6.08e-03	1.35e-07	1.16e+01	8.1045791	4.45	Hck	hemopoietic cell kinase
1434458_at	6.20e-03	1.38e-07	-1.16e+01	8.0838879	-2.14	Fst	follistatin
1449164_at	6.45e-03	1.44e-07	-1.15e+01	8.0451602	-1.28	Cd68	CD68 antigen
1434450_s_at	6.48e-03	1.44e-07	1.15e+01	8.0404989	1.98	Adrbk2	adrenergic receptor kinase, beta 2
1448231_at	6.52e-03	1.45e-07	1.15e+01	8.034796	1.65	Fkbp5	FK506 binding protein 5
1439426_x_at	6.52e-03	1.45e-07	1.15e+01	8.0336996	2.57	Lyz1	lysozyme 1
1449629_s_at	6.60e-03	1.47e-07	1.15e+01	8.0218999	9.86e-01	Snrpd3	small nuclear ribonucleoprotein D3
1451474_a_at	6.69e-03	1.49e-07	-1.15e+01	8.0092201	-1.21	Parp8	poly (ADP-ribose) polymerase family, member 8
1426715_s_at	6.73e-03	1.50e-07	-1.15e+01	8.0018597	-1.59	Slc46a1	solute carrier family 46, member 1
1416635_at	6.76e-03	1.51e-07	-1.15e+01	7.9983135	-1.59	Smpdl3a	sphingomyelin phosphodiesterase, acid-like 3A
1416097_at	6.89e-03	1.54e-07	-1.15e+01	7.9789391	-1.92	Lrrc4	leucine rich repeat containing 4
1417911_at	6.91e-03	1.54e-07	1.15e+01	7.9761772	1.68	Ccna2	cyclin A2
1451611_at	6.92e-03	1.54e-07	-1.15e+01	7.974409	-1.32	Pla2g16	phospholipase A2, group XVI
